         117336475 function calls (112314412 primitive calls) in 611.955 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1325    0.025    0.000  237.116    0.179 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1669(handle)
     1325    0.035    0.000  228.507    0.172 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1728(callHandlers)
     2646    0.044    0.000  197.372    0.075 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\handlers.py:71(emit)
     2646    0.097    0.000  172.632    0.065 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1251(emit)
     1325    0.100    0.000  161.138    0.122 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\thread.py:220(shutdown)
    66977    1.521    0.000  153.392    0.002 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:336(_build_single_resource)
1327/1326    0.100    0.000   89.678    0.068 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:1058(join)
4536/4206   37.705    0.008   89.623    0.021 {built-in method time.sleep}
60810/330    9.465    0.000   74.665    0.226 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\fsnotify\__init__.py:115(_check_dir)
     3971    0.109    0.000   68.752    0.017 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1139(emit)
    65760    1.891    0.000   65.049    0.001 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:828(accept_directory)
   444343    3.086    0.000   62.700    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_filtering.py:60(glob_matches_path)
5089073/444343   18.866    0.000   56.194    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_filtering.py:28(_check_matches)
        1    0.065    0.065   39.518   39.518 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\main_init.py:31(on_app_crash)
  1423903    5.904    0.000   38.688    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\file.py:109(__repr__)
     6617    0.044    0.000   36.058    0.005 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:699(format)
        1    0.000    0.000   35.827   35.827 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1559(critical)
     1325    0.019    0.000   35.799    0.027 g:\GitHub\PyKotor\.venv_3.13\Lib\site-packages\loggerplus\__init__.py:221(format)
     1327    0.007    0.000   35.721    0.027 g:\GitHub\PyKotor\.venv_3.13\Lib\site-packages\loggerplus\__init__.py:194(format)
        1    0.000    0.000   35.684   35.684 g:\GitHub\PyKotor\.venv_3.13\Lib\site-packages\loggerplus\__init__.py:185(formatException)
       12    0.008    0.001   33.553    2.796 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\error_handling.py:238(format_frame_info)
       92    0.004    0.000   31.247    0.340 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\error_handling.py:201(format_var_str)
     3971    0.075    0.000   26.445    0.007 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1131(flush)
     3971   25.137    0.006   25.317    0.006 {method 'flush' of '_io.TextIOWrapper' objects}
1327/1326    0.559    0.000   22.083    0.017 {method 'join' of '_thread._ThreadHandle' objects}
    50838    0.140    0.000   19.459    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\glob.py:471(select_recursive)
  1379960    2.841    0.000   19.264    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\fnmatch.py:19(fnmatch)
        5    0.000    0.000   19.181    3.836 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1500(debug)
   139241    1.231    0.000   19.038    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\file.py:80(__init__)
  1423914    2.531    0.000   16.873    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:163(__repr__)
    67263    0.389    0.000   16.692    0.000 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\dialogs\asyncloader.py:235(progress_callback_api)
16921/2231    3.022    0.000   16.343    0.007 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:327(wait)
      286    0.018    0.000   16.322    0.057 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:353(_build_resource_list)
3580252/3580216    7.406    0.000   16.028    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\ntpath.py:50(normcase)
        2    0.000    0.000   15.794    7.897 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\_base.py:408(add_done_callback)
        1    0.000    0.000   15.794   15.794 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\update_manager.py:42(check_for_updates)
        1    0.000    0.000   15.792   15.792 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:837(shutdown)
    67263    1.428    0.000   15.498    0.000 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\dialogs\asyncloader.py:289(_on_progress)
        4    0.010    0.003   14.901    3.725 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:405(wait_result_broken_or_wakeup)
        2    0.000    0.000   14.899    7.449 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\util.py:197(__call__)
        1    0.000    0.000   14.899   14.899 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:145(join_thread)
        1    0.000    0.000   14.899   14.899 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:212(_finalize_join)
  5089073    5.864    0.000   13.713    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\glob.py:233(has_magic)
  2748/92    0.072    0.000   13.366    0.145 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\error_handling.py:114(safe_repr)
   410407    0.395    0.000   12.422    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:346(name)
   575386    2.663    0.000   11.833    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:307(_tail)
    67266   11.621    0.000   11.621    0.000 {built-in method adjustSize}
    67496    0.559    0.000   11.073    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\file.py:466(from_path)
   509679    6.433    0.000   10.751    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:257(_parse_path)
  1423914    2.758    0.000   10.501    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_abc.py:142(as_posix)
   280576    0.633    0.000    9.617    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_abc.py:167(suffix)
    65758    0.257    0.000    9.557    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\genericpath.py:84(getsize)
      429    0.009    0.000    9.490    0.022 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\capsule.py:444(__init__)
        1    0.000    0.000    9.437    9.437 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:281(<lambda>)
    67496    3.462    0.000    9.171    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\file.py:487(_split_resource_filename)
  1270/12    0.070    0.000    8.996    0.750 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\editors\dlg\model.py:740(load_dlg_item_rec)
        2    0.000    0.000    8.842    4.421 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\dialogs\asyncloader.py:336(run)
        1    0.000    0.000    8.840    8.840 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:1076(<lambda>)
        1    0.023    0.023    7.952    7.952 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:1942(module_names)
      429    0.008    0.000    7.592    0.018 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\capsule.py:598(reload)
        1    0.000    0.000    7.062    7.062 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:1609(_get_override_list)
    67915    1.592    0.000    6.923    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\ntpath.py:781(relpath)
   139953    0.703    0.000    6.686    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\tools\misc.py:91(is_capsule_file)
  1565502    1.406    0.000    6.590    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:227(__str__)
    73709    4.402    0.000    6.478    0.000 {built-in method nt.stat}
  5092389    6.410    0.000    6.410    0.000 {method 'search' of 're.Pattern' objects}
  1423936    2.908    0.000    6.144    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\resource\type.py:410(__repr__)
       16    0.001    0.000    6.082    0.380 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\ui_libraries\qt\widgets\widgets\combobox.py:244(set_combo_box_text)
      617    0.027    0.000    6.063    0.010 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_comm.py:217(_read_line)
2214/1270    0.230    0.000    5.864    0.005 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\editors\dlg\model.py:1056(update_item_display_text)
    30171    0.412    0.000    5.843    0.000 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:471(add_resource)
   139243    0.630    0.000    5.738    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\tools\misc.py:77(is_bif_file)
      429    0.016    0.000    5.587    0.013 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\capsule.py:207(resources)
      308    5.233    0.017    5.406    0.018 {method 'recv' of '_socket.socket' objects}
        5    0.000    0.000    5.335    1.067 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:209(_modules)
        1    0.000    0.000    5.335    5.335 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:213(<lambda>)
        1    0.001    0.001    5.269    5.269 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:940(core_resources)
    653/4    0.447    0.001    5.264    1.316 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:409(load_resources_list)
        3    0.001    0.000    5.244    1.748 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:931(chitin_resources)
        7    0.000    0.000    5.243    0.749 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:182(_chitin)
        1    0.008    0.008    5.243    5.243 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:188(_load_chitin)
  6370886    4.797    0.000    4.797    0.000 {method 'replace' of 'str' objects}
  3448732    4.705    0.000    4.705    0.000 {built-in method _winapi.LCMapStringEx}
   163652    0.667    0.000    4.512    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:289(drive)
    31757    1.339    0.000    3.926    0.000 {built-in method appendRow}
  1379960    1.923    0.000    3.819    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\fnmatch.py:64(fnmatchcase)
     2214    0.011    0.000    3.661    0.002 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:1872(string)
1948/1947    0.345    0.000    3.637    0.002 {built-in method builtins.repr}
       13    0.000    0.000    3.589    0.276 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:219(_override)
        1    0.000    0.000    3.588    3.588 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:1026(override_list)
  1423935    3.545    0.000    3.545    0.000 {method 'format' of 'str' objects}
      161    0.018    0.000    3.421    0.021 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\resource\formats\gff\gff_auto.py:66(read_gff)
 10178146    3.320    0.000    3.321    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd_file_utils.py:342(normcase)
      192    0.003    0.000    3.308    0.017 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\resource\type.py:49(_autoclose)
 10862014    3.274    0.000    3.291    0.000 {built-in method builtins.isinstance}
  2859173    2.477    0.000    3.165    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\enum.py:199(__get__)
      161    0.006    0.000    3.132    0.019 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\resource\formats\gff\io_gff.py:62(load)
   569070    1.655    0.000    2.935    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\common\stream.py:464(read_uint32)
14409/161    0.163    0.000    2.918    0.018 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\resource\formats\gff\io_gff.py:107(_load_struct)
     2214    0.039    0.000    2.800    0.001 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:1893(strings)
    90966    0.536    0.000    2.634    0.000 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:409(filterAcceptsRow)
        5    0.000    0.000    2.616    0.523 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:187(set_sections)
67088/9511    0.436    0.000    2.609    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\resource\formats\gff\io_gff.py:135(_load_field)
      166    0.001    0.000    2.607    0.016 {built-in method insertRow}
        3    0.000    0.000    2.606    0.869 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:232(on_section_changed)
      164    0.007    0.000    2.587    0.016 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:2028(module_name)
  4013301    2.517    0.000    2.517    0.000 {built-in method sys.intern}
       97    0.123    0.001    2.514    0.026 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\capsule.py:343(_load_erf)
        3    2.467    0.822    2.467    0.822 {showText}
      332    0.123    0.000    2.461    0.007 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\capsule.py:393(_load_rim)
7492/1134    0.867    0.000    2.421    0.002 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:641(wait)
10082326/10064298    2.357    0.000    2.366    0.000 {built-in method builtins.len}
   615005    1.466    0.000    2.363    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:117(__init__)
  1539577    2.330    0.000    2.330    0.000 {method 'split' of 'str' objects}
   510335    0.792    0.000    2.171    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:277(_raw_path)
        2    0.001    0.000    2.121    1.061 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:370(load_resources_dict)
   267847    0.755    0.000    2.082    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:498(__init__)
       26    0.105    0.004    1.975    0.076 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\chitin.py:76(read_bif)
  1380702    1.911    0.000    1.911    0.000 {method 'match' of 're.Pattern' objects}
323225/289185    0.201    0.000    1.845    0.000 {built-in method builtins.hash}
 3930/482    0.074    0.000    1.825    0.004 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\resource\formats\gff\io_gff.py:215(_load_list)
    70219    0.051    0.000    1.809    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\file.py:120(__hash__)
4099948/4099942    1.342    0.000    1.781    0.000 {built-in method nt.fspath}
        1    0.000    0.000    1.779    1.779 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:1062(prepare_task)
        1    0.000    0.000    1.779    1.779 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:1636(_get_texture_pack_list)
        3    0.000    0.000    1.779    0.593 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:306(_texturepacks)
        1    0.000    0.000    1.778    1.778 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:1000(texturepacks_list)
        1    0.000    0.000    1.695    1.695 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:1645(refresh_saves_list)
     3971    1.686    0.000    1.694    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    70237    0.145    0.000    1.648    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:186(__hash__)
        1    0.002    0.002    1.632    1.632 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:728(on_savepath_changed)
        2    0.000    0.000    1.616    0.808 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\inspect.py:1735(getinnerframes)
       12    0.000    0.000    1.616    0.135 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\inspect.py:1661(getframeinfo)
       12    0.001    0.000    1.615    0.135 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\inspect.py:1052(findsource)
   207004    1.207    0.000    1.588    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\file.py:409(__post_init__)
   125266    0.293    0.000    1.565    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_abc.py:130(with_segments)
      2/1    0.000    0.000    1.552    1.552 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\error_handling.py:259(format_exception_with_variables)
    47128    0.149    0.000    1.506    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:174(_str_normcase)
       10    1.478    0.148    1.482    0.148 {built-in method show}
        9    0.000    0.000    1.475    0.164 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:683(is_save_corrupted)
    29057    0.285    0.000    1.429    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\glob.py:480(select_recursive_step)
   107231    0.473    0.000    1.406    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\common\stream.py:725(read_string)
        9    0.008    0.001    1.390    0.154 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:705(_check_save_corruption_lightweight)
     2214    0.071    0.000    1.378    0.001 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\talktable.py:124(batch)
        2    0.000    0.000    1.347    0.673 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:270(_streamsounds)
     2276    0.707    0.000    1.279    0.001 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_abc.py:476(is_file)
        3    1.252    0.417    1.252    0.417 {built-in method toPoint}
        1    0.000    0.000    1.250    1.250 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:272(<lambda>)
        2    0.000    0.000    1.239    0.620 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\editors\dlg\tree_view.py:198(mousePressEvent)
        2    0.000    0.000    1.239    0.620 {function DLGTreeView.mousePressEvent at 0x00000176D77256D0}
        2    0.001    0.000    1.238    0.619 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\editors\dlg\editor.py:2347(on_selection_changed)
    54314    0.075    0.000    1.125    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:252(_from_parsed_string)
     2944    0.019    0.000    1.108    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\common\stream.py:101(__exit__)
   124329    0.714    0.000    1.101    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\ntpath.py:99(join)
  1152469    1.042    0.000    1.042    0.000 {built-in method nt._path_splitroot_ex}
  1514836    1.033    0.000    1.033    0.000 {method 'is_dir' of 'nt.DirEntry' objects}
  1379760    0.982    0.000    0.985    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:853(accept_file)
  2710630    0.974    0.000    0.974    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.943    0.943 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:312(_load_texturepacks)
    73474    0.056    0.000    0.937    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:148(__truediv__)
     1349    0.015    0.000    0.896    0.001 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\ntpath.py:705(realpath)
     2698    0.860    0.000    0.860    0.000 {built-in method nt._getfinalpathname}
        1    0.000    0.000    0.846    0.846 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:330(run)
     1325    0.031    0.000    0.767    0.001 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\thread.py:165(submit)
      358    0.031    0.000    0.766    0.002 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\ui_libraries\qt\widgets\itemviews\html_delegate.py:81(process_icons)
     2387    0.048    0.000    0.761    0.000 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:902(_poll_result_queue)
     2828    0.275    0.000    0.745    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1768(process_internal_commands)
   137176    0.151    0.000    0.738    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\ntpath.py:573(abspath)
     2789    0.024    0.000    0.738    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\common\stream.py:134(from_file)
     1490    0.112    0.000    0.732    0.000 {built-in method builtins.all}
     2387    0.264    0.000    0.701    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:132(get_nowait)
